Row_Number,Time_Stamp,name,country,gender,age,smelliness,SockOwner2_Name,SockOwner2_Country,SockOwner2_Gender,SockOwner2_Age,SockOwner2_Smelliness
1,12:59:14,Riccardo Mussotti,Laos,F,7,0.85,Irvin Murtimer,Israel,M,17,0.86
2,13:04:59,Jud Acock,China,M,8,0.26,Abey Rosita,Portugal,M,14,0.1
3,1:18:37,Udale Christene,Bulgaria,M,9,0.91,Tann Olney,Russia,M,9,0.34
4,9:33:33,Dionysus Gooderidge,Ethiopia,M,60,0.62,Vassily Symper,Indonesia,M,64,0.14
5,18:25:37,Kalvin De Antoni,Honduras,M,78,0.81,Tito Twyford,Brazil,M,16,0.61
6,8:25:18,Marla Saddington,China,M,87,0.24,Geneva Dener,Comoros,F,49,0.47
7,5:36:22,Dede Taill,Democratic Republic of the Congo,M,62,0.71,Aubree Alessandone,Indonesia,F,39,0.4
8,21:50:20,Gizela Iorio,Philippines,F,49,0.48,Bessie Bulleyn,Yemen,F,60,0.88
9,11:51:08,Brig Drewery,Indonesia,M,90,0.74,Cullie Jentet,Portugal,M,73,0.62
10,14:16:38,Yale Van Giffen,Indonesia,F,48,0.33,Howey Milmoe,China,M,10,0.5
